locus fis fst fit snp_position
10002 -0.074956 0.020044 -0.053410 NA
10003 0.003394 -0.007072 -0.003654 NA
10004 -0.194443 0.029319 -0.159423 NA
10007 -0.184330 0.048497 -0.126893 NA
10008 0.031493 0.003227 0.034619 NA
10013 -0.137648 0.001601 -0.135827 NA
10014 -0.070345 0.022611 -0.046143 NA
10018 -0.027670 0.001459 -0.026171 NA
1002 -0.053760 0.004222 -0.049311 NA
10020 -0.033294 0.028388 -0.003961 NA
10022 -0.022968 0.006264 -0.016561 NA
10027 -0.076925 0.019840 -0.055558 NA
1003 -0.110707 -0.004577 -0.115791 NA
10030 0.115982 0.010097 0.124908 NA
10031 -0.728793 0.015254 -0.702422 NA
10032 -0.056373 0.012908 -0.042737 NA
10034 -0.024319 0.004396 -0.019816 NA
10035 -0.335730 0.000362 -0.335246 NA
10036 -0.031095 0.008965 -0.021852 NA
10041 -0.070569 0.006235 -0.063895 NA
10044 -0.112580 0.021324 -0.088855 NA
10046 -0.045001 0.022330 -0.021666 NA
10057 -0.120558 0.070130 -0.041973 NA
10058 -0.021128 0.002376 -0.018702 NA
10059 -0.112954 0.005071 -0.107310 NA
1006 -0.047465 0.014415 -0.032365 NA
10062 -0.019234 0.005216 -0.013917 NA
10070 -0.046016 0.006089 -0.039646 NA
10075 -0.069402 0.022334 -0.045518 NA
10080 -0.092234 0.019443 -0.070997 NA
10083 -0.074616 0.017961 -0.055315 NA
10084 -0.043537 0.039414 -0.002407 NA
10085 -0.031297 -0.002647 -0.034027 NA
10088 -0.045429 0.015476 -0.029250 NA
10092 -0.027331 0.015449 -0.011460 NA
10094 -0.034847 0.021563 -0.012533 NA
10097 0.185008 0.004462 0.188645 NA
10099 -0.101343 0.011720 -0.088436 NA
10100 -0.041246 0.011823 -0.028935 NA
10103 -0.074738 0.060796 -0.009398 NA
10104 -0.069019 0.033879 -0.032802 NA
10106 -0.025669 0.011411 -0.013965 NA
1011 -0.042820 0.003468 -0.039204 NA
10113 -0.150983 -0.002532 -0.153897 NA
10115 0.026601 0.035564 0.061219 NA
10121 -0.117019 0.005127 -0.111293 NA
10127 -0.027965 0.013956 -0.013618 NA
10129 -0.036162 -0.004275 -0.040592 NA
1013 -0.035046 0.007845 -0.026926 NA
10130 -0.089591 0.051990 -0.032943 NA
10133 -0.106742 0.014872 -0.090283 NA
10134 -0.204676 0.004409 -0.199364 NA
10136 -0.028040 0.020373 -0.007097 NA
10139 -0.225239 0.087244 -0.118345 NA
10140 -0.153905 0.012265 -0.139752 NA
10141 -0.103696 -0.000137 -0.103848 NA
10146 -0.050659 0.030264 -0.018862 NA
10153 -0.005244 0.023211 0.018089 NA
10154 -0.022407 0.014423 -0.007661 NA
10155 -0.022039 -0.000006 -0.022045 NA
10156 -0.562476 0.000127 -0.562278 NA
10160 -0.343298 -0.001424 -0.345211 NA
10163 -0.120932 0.064390 -0.048755 NA
10165 -0.166775 0.032336 -0.129047 NA
10168 -0.034583 0.027722 -0.005903 NA
10172 -0.025886 0.004312 -0.021462 NA
10175 -0.190946 -0.000922 -0.192044 NA
10185 -0.034024 0.009450 -0.024252 NA
10193 -0.105920 0.011973 -0.092679 NA
10196 -0.024796 0.001215 -0.023551 NA
102 0.023537 -0.010337 0.013443 NA
1020 -0.086493 0.022002 -0.062588 NA
10202 0.212273 0.039815 0.243636 NA
10203 -0.073887 0.038117 -0.032954 NA
10205 -0.058367 0.003978 -0.054157 NA
10206 -0.132102 -0.009999 -0.143421 NA
10209 -0.053705 0.011170 -0.041935 NA
10211 -0.175026 0.006582 -0.167292 NA
10212 -0.073685 0.034144 -0.037025 NA
10214 -0.069582 0.033183 -0.034089 NA
10215 -0.290064 0.100382 -0.160565 NA
1022 -0.031915 0.014526 -0.016925 NA
10220 -0.375369 0.011635 -0.359366 NA
10222 -0.054688 0.015483 -0.038359 NA
10224 -0.068112 0.007700 -0.059888 NA
10231 -0.158841 -0.002736 -0.162012 NA
10232 -0.075060 0.045917 -0.025697 NA
10233 -0.407239 -0.000769 -0.408321 NA
10235 -0.018057 0.002613 -0.015396 NA
10238 -0.026102 0.009927 -0.015916 NA
10239 -0.683158 0.003928 -0.676546 NA
10242 -0.124304 0.001766 -0.122318 NA
